area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Plot  Area,Ready To Move,4 Bedroom,,600,5,1,Nana Peth,105
Plot  Area,Ready To Move,4 Bedroom,,2916,5,1,Narayan Peth,230
Super built-up  Area,Ready To Move,3 BHK,SoapeSu,1419.59,2,1,Narayangaon,65
Super built-up  Area,Ready To Move,3 BHK,KAMESRI,1400,3,,Navi Peth,81
Built-up  Area,Ready To Move,2 BHK,,750,2,1,Padmavati,37.49
Super built-up  Area,Ready To Move,2 BHK,,1070,2,1,Parvati Darshan,87
Super built-up  Area,18-Dec,3 BHK,Sonue A,1536,3,1,Pashan,107
Built-up  Area,Ready To Move,3 BHK,K ncy R,1710,3,2,Paud Road,210
Carpet  Area,Ready To Move,3 BHK,Saacy A,2400,3,3,Pirangut,196
Super built-up  Area,18-Mar,3 BHK,PualeSk,1618 - 1929,,,Prabhat Road,102.92
Super built-up  Area,18-Apr,2 BHK,Prarkun,1342,2,1,Pune Railway Station,72
Super built-up  Area,Ready To Move,3 BHK,,1600,3,2,Rasta Peth,130
Super built-up  Area,19-Dec,1 BHK,GoityEt,938,1,1,Raviwar Peth,50
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1820,3,2,Sadashiv Peth,99
Super built-up  Area,Ready To Move,4 BHK,Pride S,2439,4,3,Sahakar Nagar,170
Super built-up  Area,Ready To Move,3 BHK,Puestol,1665,3,2,Salunke Vihar,78
Super built-up  Area,Ready To Move,3 BHK,,1850,3,2,Sasson Road,150
Built-up  Area,Ready To Move,2 BHK,Alarke ,1091,2,1,Satara Road,40
Super built-up  Area,18-Apr,2 BHK,PualeSk,1346,2,1,Senapati Bapat Road,74.03
Super built-up  Area,Ready To Move,3 BHK,Brway G,1720,3,2,Shaniwar Peth,224
Built-up  Area,Ready To Move,4 Bedroom,Goodsrb,3675,4,3,Shivaji Nagar,176
Super built-up  Area,18-Jun,2 BHK,,1060,2,2,Shukrawar Peth,33.95
Built-up  Area,18-Dec,2 BHK,,1059,2,1,Sinhagad Road,57
Super built-up  Area,Ready To Move,2 BHK,Prersis,1299,2,1,Somwar Peth,97
Super built-up  Area,Ready To Move,3 BHK,Niareum,1491,3,2,Swargate,85
Built-up  Area,Ready To Move,2 BHK,,1200,2,2,Tilak Road,85
Built-up  Area,Ready To Move,4 Bedroom,,2088,5,0,Uruli Devachi,110
Super built-up  Area,Ready To Move,1 BHK,,581,1,1,Vadgaon Budruk,29
Super built-up  Area,Ready To Move,2 BHK,,1296,2,2,Wadgaon Sheri,70
Super built-up  Area,Ready To Move,2 BHK,Mavelr ,1125,2,1,Viman Nagar,55
Built-up  Area,Ready To Move,3 BHK,Emodsel,1275,3,1,Vishrant Wadi,70
Super built-up  Area,Ready To Move,2 BHK,,1095,2,2,Wagholi,55
Plot  Area,Ready To Move,5 Bedroom,AdlasRe,10000,4,2,Wakadewadi,975
Super built-up  Area,Ready To Move,2 BHK,Sastaat,1330,2,2,Wanowrie,74
Super built-up  Area,Ready To Move,2 BHK,,1135,2,2,Warje,60
Super built-up  Area,Ready To Move,1 BHK,,516,1,1,Yerawada,39
Super built-up  Area,Ready To Move,2 BHK,,1194,2,1,Alandi Road,51
Plot  Area,Ready To Move,5 Bedroom,,2250,5,,Ambegaon Budruk,240
Super built-up  Area,Ready To Move,2 BHK,GMown E,770,1,1,Anandnagar,38
Super built-up  Area,Ready To Move,4 BHK,Maana E,3930,5,2,Aundh,330
Super built-up  Area,18-May,3 BHK,,1355,3,2,Aundh Road,54.2
Built-up  Area,Ready To Move,8 Bedroom,,3000,8,0,Balaji Nagar,150
Built-up  Area,Ready To Move,4 BHK,Prncyrn,2569,4,1,Baner,175
Built-up  Area,Ready To Move,4 Bedroom,,3758,4,2,Baner road,450
Super built-up  Area,Ready To Move,2 BHK,Sonviik,1116,2,3,Bhandarkar Road,51.91
Super built-up  Area,Ready To Move,3 BHK,Prsun S,1707,3,2,Bhavani Peth,115
Plot  Area,18-Apr,5 Bedroom,,1200,5,1,Bibvewadi,225
Super built-up  Area,Ready To Move,2 BHK,,1070,2,2,Bopodi,49
Built-up  Area,Ready To Move,4 Bedroom,,6000,4,,Budhwar Peth,410
Super built-up  Area,18-Apr,3 BHK,Sahtsva,1240,2,1,Bund Garden Road,83
Super built-up  Area,19-Dec,2 BHK,Shestut,1300,2,1,Camp,91.65
Super built-up  Area,Ready To Move,2 BHK,SJodsed,1700,2,2,Chandan Nagar,76
Super built-up  Area,Ready To Move,3 BHK,IBityin,1383,2,2,Dapodi,76.18
Built-up  Area,Ready To Move,5 Bedroom,,3000,4,3,Deccan Gymkhana,170
Built-up  Area,18-Dec,2 BHK,,1200,2,1,Dehu Road,34.65
Super built-up  Area,Ready To Move,2 BHK,,935,2,3,Dhankawadi,45
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,Dhayari Phata,151
Built-up  Area,Ready To Move,4 Bedroom,,2200,3,1,Dhole Patil Road,225
Super built-up  Area,Ready To Move,1 BHK,Vaniai ,615,1,1,Erandwane,46
Super built-up  Area,Ready To Move,2 BHK,CiaksRi,1116,2,1,Fatima Nagar,45
Super built-up  Area,18-Dec,3 BHK,Asarqz ,1639,3,2,Fergusson College Road,107
Super built-up  Area,Ready To Move,3 BHK,,1839,3,2,Ganesh Peth,130
Super built-up  Area,Ready To Move,2 BHK,,1300,2,2,Ganeshkhind,63
Super built-up  Area,Ready To Move,1 BHK,,625,1,1,Ghorpade Peth,27
Super built-up  Area,18-May,1 BHK,Bhmesy ,933,1,1,Ghorpadi,61
Super built-up  Area,Ready To Move,3 BHK,Saageat,2289,3,3,Gokhale Nagar,180
Built-up  Area,Ready To Move,3 Bedroom,,2316,3,0,Gultekdi,125
Super built-up  Area,18-May,2 BHK,,1005,2,1,Guruwar peth,39.77
Built-up  Area,Ready To Move,2 BHK,SLoraFl,1080,2,1,Hadapsar,38
Plot  Area,Ready To Move,7 Bedroom,,1200,5,3,Hadapsar Industrial Estate,185
Super built-up  Area,Ready To Move,2 BHK,Prodsth,910,2,3,Hingne Khurd,36
Plot  Area,Ready To Move,2 Bedroom,Grensak,1200,2,0,Jangali Maharaj Road,73
Super built-up  Area,Ready To Move,2 BHK,YCnce R,1110,2,1,Kalyani Nagar,39.9
Super built-up  Area,Ready To Move,2 BHK,,1142,2,2,Karve Nagar,56
Carpet  Area,Ready To Move,5 Bedroom,,4000,4,3,Karve Road,240
Plot  Area,18-Mar,3 Bedroom,Prageta,1800,3,1,Kasba Peth,204
Super built-up  Area,Ready To Move,2 BHK,CMard B,1005,2,1,Katraj,55
Built-up  Area,18-Apr,3 BHK,,1626.6,3,1,Khadaki,133
Super built-up  Area,Ready To Move,2 BHK,,1074,2,2,Khadki,54
Carpet  Area,Ready To Move,2 BHK,,1230,2,0,Kharadi,80
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,660,1,1,Kondhwa,23
Built-up  Area,Ready To Move,2 BHK,,1007,2,2,Kondhwa Budruk,48
Plot  Area,Ready To Move,4 Bedroom,,1050,6,1,Kondhwa Khurd,74
Built-up  Area,20-Dec,3 BHK,,1820,3,2,Koregaon Park,113
Super built-up  Area,Ready To Move,2 BHK,Krtiqa ,1100,2,1,Kothrud,60
Plot  Area,Ready To Move,2 Bedroom,,1348,2,0,Law College Road,100
Super built-up  Area,Ready To Move,2 BHK,,1230,2,2,Laxmi Road,66.25
Super built-up  Area,18-May,3 BHK,,1176,2,1,Lulla Nagar,37.62
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1590,3,2,Mahatma Gandhi Road,57
Built-up  Area,Ready To Move,2 BHK,,1200,2,1,Mangalwar peth,78
Built-up  Area,18-Jun,2 BHK,,1298,2,1,Manik Bagh,65
Super built-up  Area,18-Jul,2 BHK,Mahesr ,1161,2,1,Market yard,55.15
Plot  Area,Ready To Move,4 Bedroom,,1350,4,0,Model colony,175
Plot  Area,Ready To Move,5 Bedroom,,1200,5,2,Mukund Nagar,138
Super built-up  Area,Ready To Move,2 BHK,,1285,2,1,Mundhawa,60
Super built-up  Area,17-Jun,3 BHK,Prarkun,1644,3,2,Nagar Road,92.59
Super built-up  Area,Ready To Move,3 BHK,,1819,3,1,Nana Peth,150
Super built-up  Area,Ready To Move,2 BHK,NCaveun,1205,2,1,Narayan Peth,85
Super built-up  Area,Ready To Move,3 BHK,,2350,3,3,Narayangaon,300
Super built-up  Area,Ready To Move,2 BHK,,1050,2,1,Navi Peth,42
Super built-up  Area,Ready To Move,2 BHK,Ely 3Em,1270,2,2,Padmavati,62
Super built-up  Area,18-Jun,3 BHK,,1240,2,2,Parvati Darshan,39.89
Super built-up  Area,Ready To Move,3 BHK,DLhtsan,1221,3,3,Pashan,70
Built-up  Area,Ready To Move,3 BHK,RKntsrt,840,2,2,Paud Road,35
Super built-up  Area,Ready To Move,2 BHK,PuandHi,1339,2,2,Pirangut,63
Super built-up  Area,Ready To Move,4 BHK,Prtanha,4303,5,,Prabhat Road,300
Super built-up  Area,Ready To Move,2 BHK,DSimaUl,1315,2,1,Pune Railway Station,85
Super built-up  Area,Ready To Move,2 BHK,,1250,2,2,Rasta Peth,68
Super built-up  Area,Ready To Move,2 BHK,Prityel,850,2,1,Raviwar Peth,27
Super built-up  Area,Ready To Move,3 BHK,Eladero,1600,2,2,Sadashiv Peth,110
Built-up  Area,Ready To Move,2 BHK,Prhtsua,1250,2,1,Sahakar Nagar,62
Super built-up  Area,Ready To Move,3 BHK,Puodse ,1312,2,1,Salunke Vihar,56.5
Super built-up  Area,Ready To Move,4 BHK,VSaya A,3000,4,0,Sasson Road,134
Built-up  Area,Ready To Move,2 BHK,Prngshi,1300,2,2,Satara Road,28
Built-up  Area,Ready To Move,3 BHK,,1990,3,3,Senapati Bapat Road,98
Super built-up  Area,Ready To Move,2 BHK,,760,2,2,Shaniwar Peth,38.5
Plot  Area,Ready To Move,4 Bedroom,Thessrm,5000,4,2,Shivaji Nagar,536
Super built-up  Area,Ready To Move,3 BHK,InadeAr,1614,2,2,Shukrawar Peth,59
Plot  Area,Ready To Move,4 Bedroom,,1500,3,2,Sinhagad Road,162
Super built-up  Area,Ready To Move,3 BHK,Prvaska,1182,2,1,Somwar Peth,60.1
Super built-up  Area,Ready To Move,2 BHK,PyonsCa,1053,2,1,Swargate,46.29
Built-up  Area,Ready To Move,1 BHK,,750,1,1,Tilak Road,105
Super built-up  Area,Ready To Move,3 BHK,MauilTr,2000,3,3,Uruli Devachi,125
Built-up  Area,18-May,3 BHK,SNbay G,1940,4,3,Vadgaon Budruk,116
Super built-up  Area,18-Dec,3 BHK,Shxorm ,1590,3,2,Wadgaon Sheri,105
Super built-up  Area,18-Oct,2 BHK,,1035,2,2,Viman Nagar,52.79
Super built-up  Area,Ready To Move,2 BHK,,1075,2,2,Vishrant Wadi,53
Plot  Area,Ready To Move,2 Bedroom,,900,2,0,Wagholi,55
Super built-up  Area,Ready To Move,3 BHK,Keave E,1260,2,1,Wakadewadi,62
Plot  Area,Ready To Move,6 Bedroom,,1200,5,0,Wanowrie,260
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1702,3,2,Warje,107
Super built-up  Area,Ready To Move,3 BHK,Prityel,1080,2,2,Yerawada,65
Built-up  Area,Ready To Move,2 BHK,,1189,2,1,Alandi Road,45
Super built-up  Area,Ready To Move,2 BHK,Mairer ,1035,2,1,Ambegaon Budruk,39
Super built-up  Area,18-Aug,2 BHK,DSeldpr,1200,2,1,Anandnagar,36
Plot  Area,Ready To Move,8 Bedroom,,4482,6,2,Aundh,852
Plot  Area,Ready To Move,3 Bedroom,,1200,3,0,Aundh Road,200
Super built-up  Area,20-Oct,3 BHK,PrarePa,1300,3,1,Balaji Nagar,69
Super built-up  Area,19-Apr,2 BHK,LedorSa,1330,2,1,Baner,93.65
Super built-up  Area,Ready To Move,3 BHK,Baowsig,1210,2,1,Baner road,65
Built-up  Area,Ready To Move,3 BHK,,1350,2,2,Bhandarkar Road,54.2
Super built-up  Area,Ready To Move,3 BHK,SyOnen ,1900,2,2,Bhavani Peth,65
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1935,4,2,Bibvewadi,125
Super built-up  Area,Ready To Move,3 BHK,BrlonAv,1410,3,3,Bopodi,90
Super built-up  Area,Ready To Move,2 BHK,AriosHe,1469,2,2,Budhwar Peth,99.14
Super built-up  Area,Ready To Move,2 BHK,Hirio L,986,2,1,Bund Garden Road,30
Super built-up  Area,Ready To Move,3 BHK,Sasicha,1460,2,2,Camp,87
Super built-up  Area,19-Jan,3 BHK,TiaksAa,1260,2,2,Chandan Nagar,85.05
Super built-up  Area,Ready To Move,3 BHK,Riiew L,1345,2,2,Dapodi,39.5
Super built-up  Area,Ready To Move,2 BHK,Isncasa,980,2,1,Deccan Gymkhana,57
Built-up  Area,Ready To Move,2 BHK,Brlms P,1164,2,2,Dehu Road,75
Super built-up  Area,Ready To Move,2 BHK,Prldsri,929,1,2,Dhankawadi,51
Built-up  Area,Ready To Move,2 BHK,,1065,2,1,Dhayari Phata,70
Super built-up  Area,20-Jun,2 BHK,Brstaue,1150 - 1194,2,0,Dhole Patil Road,56.725
Super built-up  Area,Ready To Move,3 BHK,,3000,3,1,Erandwane,265
Super built-up  Area,18-Apr,2 BHK,,1020,2,1,Fatima Nagar,30.27
Super built-up  Area,Ready To Move,3 BHK,DSerste,1362,3,1,Fergusson College Road,62.63
Super built-up  Area,Ready To Move,1 BHK,IBityin,672,1,1,Ganesh Peth,36.85
Super built-up  Area,Ready To Move,3 BHK,Stlomg ,1746,3,3,Ganeshkhind,115
Built-up  Area,18-Dec,2 BHK,,1025,2,1,Ghorpade Peth,29.6
Super built-up  Area,Ready To Move,2 BHK,SrEndPo,1532,2,1,Ghorpadi,65
Super built-up  Area,Ready To Move,3 BHK,,1200,2,2,Gokhale Nagar,120
Super built-up  Area,Ready To Move,2 BHK,AlourAr,1250,2,2,Gultekdi,65
Super built-up  Area,Ready To Move,2 BHK,SLaceda,1188,2,1,Guruwar peth,39
Built-up  Area,19-Oct,4 Bedroom,NVaree ,3565,4,0,Hadapsar,218
Super built-up  Area,19-Jan,2 BHK,PrensKe,1170,2,2,Hadapsar Industrial Estate,85
Super built-up  Area,Ready To Move,3 BHK,,1800,3,2,Hingne Khurd,150
Plot  Area,Ready To Move,2 Bedroom,,1000,2,1,Jangali Maharaj Road,35
Plot  Area,Ready To Move,3 Bedroom,,2600,3,1,Kalyani Nagar,375
Plot  Area,Ready To Move,5 Bedroom,,1200,4,3,Karve Nagar,240
Super built-up  Area,Ready To Move,4 BHK,Radenta,2507,4,2,Karve Road,155
Super built-up  Area,Ready To Move,2 BHK,ARngsd ,1061,2,1,Kasba Peth,34
Super built-up  Area,Ready To Move,2 BHK,,1290,2,2,Katraj,69
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,Khadaki,42.6
Super built-up  Area,18-May,2 BHK,,1120,2,2,Khadki,39.29
Super built-up  Area,Ready To Move,1 BHK,,418,1,1,Kharadi,12
Super built-up  Area,Ready To Move,3 BHK,Sondaka,1333,3,1,Kondhwa,50
Super built-up  Area,Ready To Move,3 BHK,Klark L,1691,3,2,Kondhwa Budruk,119
Super built-up  Area,19-Dec,1 BHK,Cotaror,684 - 810,1,0,Kondhwa Khurd,34.355
Super built-up  Area,Ready To Move,3 BHK,,1700,3,3,Koregaon Park,250
Super built-up  Area,19-May,3 BHK,G conTh,2030,4,1,Kothrud,125
Super built-up  Area,18-Mar,2 BHK,Soresea,1012,2,1,Law College Road,70
Carpet  Area,Ready To Move,3 BHK,,1245,2,1,Laxmi Road,60
Super built-up  Area,Ready To Move,3 BHK,Eladero,1765,3,2,Lulla Nagar,118
Super built-up  Area,Ready To Move,2 BHK,Srtusi ,1110,2,2,Mahatma Gandhi Road,36.25
Built-up  Area,Ready To Move,2 BHK,,967,2,1,Mangalwar peth,47.8
Super built-up  Area,Ready To Move,2 BHK,Peles P,1044,2,2,Manik Bagh,36
Super built-up  Area,Ready To Move,3 BHK,Baentgi,1518,3,3,Market yard,80
Super built-up  Area,Ready To Move,3 BHK,SLontel,1300,2,2,Model colony,57
Super built-up  Area,Ready To Move,3 BHK,Sapazta,1798,3,3,Mukund Nagar,73
Carpet  Area,Ready To Move,2 BHK,Jahidva,866.28,2,0,Mundhawa,36.38
Super built-up  Area,18-Feb,4 BHK,BrlisCo,3410,5,3,Nagar Road,253
Super built-up  Area,Ready To Move,2 BHK,EAvarum,1179,2,2,Nana Peth,56
Super built-up  Area,Ready To Move,5 BHK,PhestOn,3600,5,,Narayan Peth,510
Super built-up  Area,Ready To Move,2 BHK,Aklia R,1125,2,1,Narayangaon,48
Super built-up  Area,Ready To Move,3 BHK,,2098,3,1,Navi Peth,210
Super built-up  Area,Ready To Move,3 BHK,,2400,3,1,Padmavati,270
Built-up  Area,Ready To Move,3 BHK,,1976,3,2,Parvati Darshan,92
Built-up  Area,Ready To Move,2 BHK,Niaveha,1190,2,2,Pashan,61.8
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,Paud Road,192
Super built-up  Area,19-Sep,3 BHK,Ceezey ,1761,3,1,Pirangut,84.52
Super built-up  Area,Ready To Move,3 BHK,,1700,3,3,Prabhat Road,120
Built-up  Area,Ready To Move,4 Bedroom,,900,4,1,Pune Railway Station,70
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,Rasta Peth,64.8
Super built-up  Area,Ready To Move,3 BHK,,2000,3,2,Raviwar Peth,85
Built-up  Area,18-Dec,3 BHK,,1220,2,1,Sadashiv Peth,35.25
Super built-up  Area,19-Jan,1 BHK,Ardaseo,509,1,1,Sahakar Nagar,20
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1852,4,2,Salunke Vihar,122
Super built-up  Area,20-Dec,2 BHK,Myple M,1045,2,1,Sasson Road,40.65
Super built-up  Area,Ready To Move,4 BHK,Varve R,3535,4,2,Satara Road,215
Super built-up  Area,Ready To Move,2 BHK,,1102,2,2,Senapati Bapat Road,53.67
Super built-up  Area,Ready To Move,4 BHK,Shinei ,1800,3,2,Shaniwar Peth,82
Super built-up  Area,Ready To Move,3 BHK,,1436,2,2,Shivaji Nagar,75
Super built-up  Area,Ready To Move,3 BHK,Kr 10Ca,1397,2,,Shukrawar Peth,52
Super built-up  Area,Ready To Move,2 BHK,,1140,2,2,Sinhagad Road,56
Super built-up  Area,20-Jan,1 BHK,Soresea,645,1,1,Somwar Peth,55
Plot  Area,Ready To Move,5 Bedroom,,2350,5,,Swargate,325
Plot  Area,18-May,3 Bedroom,,1200,3,2,Tilak Road,225
Carpet  Area,Ready To Move,3 BHK,E onsg ,2050,3,2,Uruli Devachi,135
Super built-up  Area,Ready To Move,2 BHK,DSndsod,1335,2,1,Vadgaon Budruk,95
Plot  Area,Ready To Move,2 Bedroom,,2100,1,1,Wadgaon Sheri,200
Super built-up  Area,18-Dec,3 BHK,Magiaya,1255,3,2,Viman Nagar,77.68
Super built-up  Area,Ready To Move,2 BHK,SLaceda,1140,2,1,Vishrant Wadi,59
Super built-up  Area,Ready To Move,3 BHK,Taonte ,2376,3,1,Wagholi,240
Super built-up  Area,19-Mar,1 BHK,Bhe 2ko,663,1,1,Wakadewadi,46
Super built-up  Area,Ready To Move,2 BHK,,1276,2,0,Wanowrie,146
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1450,3,3,Warje,60.9
Super built-up  Area,Ready To Move,3 BHK,,1400,3,3,Yerawada,66
Super built-up  Area,17-Oct,2 BHK,,1339,2,1,Alandi Road,53.56
Built-up  Area,18-Dec,3 BHK,,1220,2,1,Ambegaon Budruk,35.23
Built-up  Area,Ready To Move,3 BHK,Sariaat,2200,3,2,Anandnagar,275
Built-up  Area,Ready To Move,2 BHK,,1305,2,2,Aundh,52
Built-up  Area,Ready To Move,3 BHK,Sravea ,1740,3,3,Aundh Road,80
Super built-up  Area,Ready To Move,2 BHK,,680,1,1,Balaji Nagar,21
Super built-up  Area,Ready To Move,2 BHK,,1154,2,2,Baner,47
Built-up  Area,Ready To Move,2 BHK,,1200,2,2,Baner road,40
Super built-up  Area,Ready To Move,2 BHK,,1155,2,2,Bhandarkar Road,54.5
Super built-up  Area,Ready To Move,3 BHK,Shthi S,1525,2,3,Bhavani Peth,63
Built-up  Area,Ready To Move,1 Bedroom,,600,1,1,Bibvewadi,125
Super built-up  Area,19-Dec,4 BHK,Raard B,2470,5,2,Bopodi,192
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,Budhwar Peth,60
Super built-up  Area,Ready To Move,2 BHK,Savar S,1250,2,2,Bund Garden Road,65
Super built-up  Area,Ready To Move,2 BHK,YMhenLi,1400,2,1,Camp,70
Super built-up  Area,Ready To Move,3 BHK,Naory G,1600,3,2,Chandan Nagar,100
Built-up  Area,Ready To Move,2 BHK,GMown E,1060,2,1,Dapodi,55
Super built-up  Area,Ready To Move,2 BHK,,1272,2,2,Deccan Gymkhana,50
Super built-up  Area,19-Jul,2 BHK,Soazak ,1296,2,2,Dehu Road,105
Built-up  Area,Ready To Move,4 BHK,,2100,3,2,Dhankawadi,280
Super built-up  Area,Ready To Move,3 BHK,AjityIn,1945,3,3,Dhayari Phata,115
Super built-up  Area,19-Nov,3 BHK,,1033,2,2,Dhole Patil Road,30.47
Super built-up  Area,Ready To Move,3 BHK,Pantsce,2300,2,,Erandwane,69
Super built-up  Area,18-Aug,2 BHK,,1235,2,2,Fatima Nagar,52.76
Super built-up  Area,Ready To Move,3 BHK,Aplanje,2100,3,1,Fergusson College Road,270
Super built-up  Area,Ready To Move,2 BHK,Sharlth,850,2,1,Ganesh Peth,42.5
Super built-up  Area,Ready To Move,3 BHK,Mayne A,1880,3,2,Ganeshkhind,110
Super built-up  Area,20-May,4 BHK,,2450,4,2,Ghorpade Peth,368
Super built-up  Area,Ready To Move,2 BHK,Unateit,1060,2,2,Ghorpadi,52
Super built-up  Area,Ready To Move,3 BHK,SaireSa,2041,3,3,Gokhale Nagar,138
Built-up  Area,Ready To Move,2 Bedroom,,1050,2,2,Gultekdi,125
Super built-up  Area,Ready To Move,2 BHK,,1037,2,1,Guruwar peth,36.28
Built-up  Area,21-Dec,2 BHK,,1150,2,1,Hadapsar,39
Super built-up  Area,Ready To Move,2 BHK,MCrds S,1184,2,1,Hadapsar Industrial Estate,62
Built-up  Area,Ready To Move,3 BHK,,1680,3,2,Hingne Khurd,126
Super built-up  Area,18-Apr,3 BHK,Bhe 2ko,1411,3,2,Jangali Maharaj Road,100
Plot  Area,Ready To Move,5 Bedroom,,900,5,0,Kalyani Nagar,55
Super built-up  Area,21-Dec,2 BHK,,900,2,2,Karve Nagar,41
Built-up  Area,Ready To Move,4 BHK,,3500,4,3,Karve Road,320
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1702,3,2,Kasba Peth,120
Super built-up  Area,Ready To Move,2 BHK,BKideor,1185,2,2,Katraj,45
Super built-up  Area,21-Jan,3 BHK,PrarePa,1300,3,1,Khadaki,64
Super built-up  Area,Ready To Move,3 BHK,Vanusn ,1545,3,2,Khadki,65
Super built-up  Area,Ready To Move,3 BHK,NCierar,1515,2,2,Kharadi,135
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1300,3,3,Kondhwa,55
Super built-up  Area,Ready To Move,2 BHK,,1107,2,1,Kondhwa Budruk,57
Super built-up  Area,Ready To Move,3 BHK,Brglede,1720,3,2,Kondhwa Khurd,106
Super built-up  Area,Ready To Move,3 BHK,Srersas,1540,3,2,Koregaon Park,150
Super built-up  Area,Ready To Move,2 BHK,,1000,2,1,Kothrud,44.5
Super built-up  Area,21-Dec,1 BHK,KonteiT,710,1,1,Law College Road,40.42
Super built-up  Area,Ready To Move,2 BHK,SLaceda,1100,2,1,Laxmi Road,38
Built-up  Area,Ready To Move,4 Bedroom,KrodsNo,3200,4,0,Lulla Nagar,270
Plot  Area,Ready To Move,2 Bedroom,,900,2,2,Mahatma Gandhi Road,160
Built-up  Area,Ready To Move,2 BHK,Saavenc,1250,2,0,Mangalwar peth,48
Built-up  Area,Ready To Move,5 Bedroom,,2400,4,3,Manik Bagh,130
Super built-up  Area,Ready To Move,3 BHK,Sonosty,1584.01,3,1,Market yard,104
Plot  Area,Ready To Move,4 Bedroom,,875,4,0,Model colony,150
Plot  Area,Ready To Move,4 Bedroom,,1200,6,3,Mukund Nagar,60
Super built-up  Area,Ready To Move,3 BHK,SrncyRe,1485,2,2,Mundhawa,70
Built-up  Area,Ready To Move,3 BHK,Maity W,1100,2,1,Nagar Road,78
Super built-up  Area,18-Mar,2 BHK,,1245,2,1,Nana Peth,59
Built-up  Area,19-Dec,4 Bedroom,Ciris P,1880,4,0,Narayan Peth,154
Super built-up  Area,20-Jul,3 BHK,,2214,3,3,Narayangaon,350
Built-up  Area,18-Jun,2 BHK,,1050,2,2,Navi Peth,45
Plot  Area,Ready To Move,4 Bedroom,,600,4,2,Padmavati,95
Super built-up  Area,19-Jul,3 BHK,Uncioe ,1640,3,2,Parvati Darshan,105
Super built-up  Area,Ready To Move,2 BHK,Papusa ,1165,2,1,Pashan,65
Built-up  Area,Ready To Move,2 BHK,MMowsik,1110,2,1,Paud Road,43
Super built-up  Area,Ready To Move,7 BHK,,1200,5,2,Pirangut,200
Built-up  Area,Ready To Move,4 BHK,Soy 1Iv,4000,4,2,Prabhat Road,630
Built-up  Area,Ready To Move,4 Bedroom,,4500,4,0,Pune Railway Station,150
Plot  Area,Ready To Move,4 Bedroom,,600,4,3,Rasta Peth,65
Super built-up  Area,Ready To Move,2 BHK,NDionas,1300,2,2,Raviwar Peth,75
Plot  Area,Ready To Move,2 Bedroom,,1200,1,0,Sadashiv Peth,42
Plot  Area,Immediate Possession,,Saaveha,1200 - 1800,,,Sahakar Nagar,12.75
Super built-up  Area,18-Aug,2 BHK,Puachal,1232,2,1,Salunke Vihar,69.61
Super built-up  Area,Ready To Move,3 BHK,,1704,3,2,Sasson Road,94.36
Built-up  Area,Ready To Move,3 BHK,,1275,2,2,Satara Road,88
Super built-up  Area,Ready To Move,3 BHK,GCiewty,1222,2,1,Senapati Bapat Road,68
Super built-up  Area,Ready To Move,2 BHK,MKllei ,1155,2,2,Shaniwar Peth,39
Super built-up  Area,18-Apr,2 BHK,,1000,2,1,Shivaji Nagar,29.95
Super built-up  Area,Ready To Move,2 BHK,Bhave E,1200,2,1,Shukrawar Peth,45
Super built-up  Area,19-Dec,3 BHK,Goues A,1517,3,2,Sinhagad Road,71.28
Super built-up  Area,18-May,2 BHK,,1166,2,1,Somwar Peth,37.29
Built-up  Area,Ready To Move,2 BHK,Itelaa ,870,2,2,Swargate,24
Super built-up  Area,Ready To Move,5 BHK,,4000,5,2,Tilak Road,170
Plot  Area,Ready To Move,4 Bedroom,,1350,4,1,Uruli Devachi,230
Super built-up  Area,Ready To Move,4 BHK,Niareum,3019,6,,Vadgaon Budruk,190
Super built-up  Area,Ready To Move,3 BHK,SearkHy,1345,3,1,Wadgaon Sheri,58
Plot  Area,Ready To Move,3 Bedroom,,900,3,1,Viman Nagar,75
Super built-up  Area,Ready To Move,4 BHK,AkoreEn,3800,5,2,Vishrant Wadi,170
Super built-up  Area,Ready To Move,3 BHK,,971,2,2,Wagholi,38
Super built-up  Area,Ready To Move,2 BHK,Shateor,1255,2,1,Wakadewadi,52.32
Built-up  Area,Ready To Move,2 BHK,Loe 1st,1810,2,2,Wanowrie,65
Built-up  Area,Ready To Move,2 BHK,,1300,2,1,Warje,58
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2,2,Yerawada,45
Super built-up  Area,Ready To Move,2 BHK,ShaleSp,1350,2,3,Alandi Road,68
Super built-up  Area,20-Jun,3 BHK,Brstaue,1510 - 1670,3,0,Ambegaon Budruk,76.16
